Product name,Price,No of ratings,Links
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),"1,599","1,733",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYXRmX2Jyb3dzZTozMDAyNjQ4ODk2OTQ4MzI6OjA6Og&url=%2FPortronics-Wireless-10000mAh-Magnetic-Compatible%2Fdp%2FB0CRVQC189%2Fref%3Dsr_1_145_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)","1,599","1,283",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYXRmX2Jyb3dzZTozMDAyMzY0Njk0NTUzMzI6OjA6Og&url=%2FpTron-Dynamo-10000mAh-Charging-Certified%2Fdp%2FB0D49SLB3Q%2Fref%3Dsr_1_146_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",899,"1,703",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYXRmX2Jyb3dzZTozMDAxNDgyOTk2MDg4MzI6OjA6Og&url=%2FpTron-Dynamo-10000mAh-Charging-Protection%2Fdp%2FB0CTJ1NTRG%2Fref%3Dsr_1_147_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"pTron Dynamo Spark 10000mAh 22.5W Power Bank, Compact Size Fast Charging, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports (Black)",999,199,https://www.amazon.in/pTron-Dynamo-10000mAh-Charging-supports/dp/B0CTHXDF18/ref=sr_1_148?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-148
"GadgetBite Silicone case for Xiaomi, 10000mAh Power Bank, for Xiaomi mi[Power Bank NOT Included]-Black",249,308,https://www.amazon.in/GadgetBite-Silicone-Xiaomi-10000mAh-Included/dp/B0CNH471R7/ref=sr_1_149?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-149
"Ambrane 4 in 1 Wireless Charging 10000mAh Power Bank 15W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Aerosync Quad, Black)","1,998",267,https://www.amazon.in/Ambrane-Wireless-Charging-10000mAh-Quad/dp/B0CL9H6X7L/ref=sr_1_150?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-150
"Anker 20000 mAh PD Power Bank, PowerCore (Series 3), Fast Charging PowerIQ (PIQ) Technology, USB-C Input, USB-A & USB-C Output, Charge 2 Devices, Ultra Slim Portable Charger for iPhone & other Phones","2,498","4,357",https://www.amazon.in/PowerCore-Charging-PowerIQ-Technology-Portable/dp/B0BYP4Y1N8/ref=sr_1_151?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-151
"Ambrane 10000mAh Slimmest & Compact (Pocket/Bag Friendly) Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Powerlit, Maroon)","1,199",860,https://www.amazon.in/Ambrane-10000mAh-Slimmest-Friendly-Powerbank/dp/B0CNSXBXWM/ref=sr_1_152?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-152
"FLiX(Beetel) UltraCharge 10000mAh QCPD Power Bank,USB C/B Input,Tripple Output 22.5W High-Capacity Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 23 21 GooglePixel7 Oneplus",799,"2,901",https://www.amazon.in/FLiX-UltraCharge-High-Capacity-Compatible-GooglePixel7/dp/B0C8D1WG85/ref=sr_1_153?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-153
Stuffcool Click 5000mAh Made in India Magnetic Wireless Powerbank with 18W PD Fast Charing Type C Port Perfect for iPhone 12/13/14 Series (Metallic Grey),"1,499",235,https://www.amazon.in/Stuffcool-Magnetic-Wireless-Powerbank-Metallic/dp/B0CCJ8BX6C/ref=sr_1_154?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-154
"Stuffcool Mega II Compact 10,000mAh 30W PD, 33W PPS Powerbank with Samsung Super Fast Charging, Charges iPhones & Pixels 50% in 30 Mins, Universal Fast Charging for Oppo, OnePlus, Realme - Green","1,599",28,https://www.amazon.in/Stuffcool-Mega-II-Powerbank-Universal/dp/B0DDTLS4R3/ref=sr_1_155?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-155
"pTron Newly Launched Dynamo Vortex 10000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 2 Outputs, 1 Input & Multiple Layers of Protection (Blue)",899,"1,703",https://www.amazon.in/pTron-Dynamo-10000mAh-Charging-Protection/dp/B0CTHYRZKM/ref=sr_1_156?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-156
"FLiX(Beetel) UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple Output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 Google Pixel7 Oneplus (P25-Black)","1,199","2,901",https://www.amazon.in/FLiX-Launched-UltraCharge-High-Speed-Compatible/dp/B0C8D2G2H4/ref=sr_1_157?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-157
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Bright Blue),999,"42,419",https://www.amazon.in/URBN-Li-Polymer-Compact-Charge-Bright/dp/B08HDYQN4W/ref=sr_1_158?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-158
"AmazonBasics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black",949,"3,102",https://www.amazon.in/10000mAH-Lithium-Polymer-Charging-Included/dp/B09X5SPFZ2/ref=sr_1_159?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-159
"Stuffcool Snap 5000mAh Super Compact Type C Power Bank with 20W PD PPS Output, Charges iPhone 15, Pixel 6/7 50% in 30 mins, Compatible with Samsung Type C Phones, Tablets","1,099",206,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfbXRmX2Jyb3dzZTozMDAwNTg0MjA4NjMxMzI6OjA6Og&url=%2FStuffcool-5000mAh-Compact-Charges-Compatible%2Fdp%2FB0C9ZVD1MM%2Fref%3Dsr_1_160_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-160-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
